ResponseId,question_profile,politician_choice,Democracy,Economy,Welfare,Gender,Diversity,age,yob,female,province_birth,education_nk,year_defection,year_arrived_sk,years_in_nk,years_in_sk,current_residence
28,5.1,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,5.2,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,6.1,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,6.2,0,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,7.1,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,7.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,8.1,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,8.2,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,9.1,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
28,9.2,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,70,1953,0,함경북도,"전문대학교 (2년) 졸업, 기술고급중학교",2000,2012,47,11,서울
29,1.1,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,1.2,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,10.1,0,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,10.2,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,2.1,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,2.2,0,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,3.1,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,3.2,0,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,4.1,1,"민주주의는 문제점이 있지만, 다른 어떤 정부 형태보다는 나은 방식이다",국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,일자리가 귀할 때에는 여자보다 남자에게 일자리를 우선 부여해야 한다,인종과 문화의 다양성은 시민들의 삶을 향상시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,4.2,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 국영기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,5.1,0,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,5.2,1,민주주의는 경제력을 악화시킨다,국가는 국영기업을 확대해야 한다,정부가 복지에 더 책임을 져야 한다,평등한 채용결정을 위해 지원자들의 능력이 동일한 경우에도 여성이 남성보다 우선적으로 심사되어야 한다,인종 및 문화의 다양성은 국가의 결속력을 약화시킨다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
29,6.1,1,민주주의는 결정력이 부족하며 질서를 유지하지 못한다,국가는 사기업을 확대해야 한다,당사자가 각자의 생계에 책임을 져야 한다,사회생활에서 역할을 분담할 때 성별이 중요하지 않다,인종 및 문화의 다양성은 나라에 경제적 이득이 되기 때문에 받아들여야 한다,49,1974,0,함경북도,고등중학교 고등반(4-6년) 졸업,1999,2008,25,15,충남
